code_de_la_subdivision_canadienne-canadian_subdivision_code,région_de_tri_d'acheminement-forward_sortation_area,code_de_genre-gender_group_code,compte_unique_du_bénéficiaire-unique_beneficiary_count
QC,G7Y,102,80
QC,G7Z,101,250
QC,G7Z,102,260
QC,G8A,101,540
QC,G8A,102,650
QC,G8B,101,2130
QC,G8B,102,2520
QC,G8C,101,410
QC,G8C,102,350
QC,G8D,102,X
QC,G8E,101,380
QC,G8E,102,430
QC,G8G,101,360
QC,G8G,102,420
QC,G8H,101,920
QC,G8H,102,1050
QC,G8J,101,400
QC,G8J,102,460
QC,G8K,101,1010
QC,G8K,102,1000
QC,G8K,103,X
QC,G8L,101,1340
QC,G8L,102,1620
QC,G8L,103,X
QC,G8M,101,480
QC,G8M,102,550
QC,G8N,101,230
QC,G8N,102,260
QC,G8N,103,X
QC,G8P,101,710
QC,G8P,102,1040
QC,G8T,101,2810
QC,G8T,102,3350
QC,G8T,103,X
QC,G8V,101,940
QC,G8V,102,1140
QC,G8W,101,980
QC,G8W,102,1090
QC,G8W,103,X
QC,G8Y,101,2870
QC,G8Y,102,3170
QC,G8Y,103,X
QC,G8Z,101,1410
QC,G8Z,102,1800
QC,G8Z,103,X
QC,G9A,101,2320
QC,G9A,102,2850
QC,G9A,103,X
QC,G9B,101,1860
QC,G9B,102,1910
QC,G9C,101,340
QC,G9C,102,380
QC,G9H,101,1230
QC,G9H,102,1460
QC,G9M,101,X
QC,G9N,101,1540
QC,G9N,102,2050
QC,G9N,103,X
QC,G9P,101,990
QC,G9P,102,1110
QC,G9R,101,220
QC,G9R,102,270
QC,G9T,101,1530
QC,G9T,102,1870
QC,G9X,101,950
QC,G9X,102,1170
QC,G9Y,101,X
QC,G9Z,101,X
QC,G9Z,102,X
QC,H0M,101,480
QC,H0M,102,420
QC,H0V,101,X
QC,H1A,101,3240
QC,H1A,102,3880
QC,H1A,103,X
QC,H1B,101,2210
QC,H1B,102,2900
QC,H1B,103,X
QC,H1C,101,1700
QC,H1C,102,2050
QC,H1C,103,X
QC,H1E,-1,X
QC,H1E,101,5240
QC,H1E,102,6180
QC,H1E,103,X
QC,H1F,101,X
QC,H1G,-1,X
QC,H1G,101,6600
QC,H1G,102,7990
QC,H1G,103,X
QC,H1H,-1,X
QC,H1H,101,4580
QC,H1H,102,6190
QC,H1H,103,X
QC,H1J,101,1130
QC,H1J,102,1360
QC,H1K,101,3950
QC,H1K,102,4590
QC,H1L,101,3700
QC,H1L,102,4720
QC,H1L,103,X
QC,H1M,101,2790
QC,H1M,102,3260
QC,H1M,103,X
QC,H1N,101,2520
QC,H1N,102,3080
QC,H1N,103,X
QC,H1P,101,2090
QC,H1P,102,2520
QC,H1Q,101,X
QC,H1R,-1,X
QC,H1R,101,3760
QC,H1R,102,4600
QC,H1R,103,X
QC,H1S,101,2810
QC,H1S,102,3540
QC,H1S,103,X
QC,H1T,-1,X
QC,H1T,101,3190
QC,H1T,102,3940
QC,H1V,101,2610
QC,H1V,102,3530
QC,H1V,103,X
QC,H1W,101,3940
QC,H1W,102,5370
QC,H1W,103,X
QC,H1X,101,3280
QC,H1X,102,4260
QC,H1X,103,X
QC,H1Y,101,3260
QC,H1Y,102,3510
QC,H1Y,103,X
QC,H1Z,101,5030
QC,H1Z,102,6380
QC,H1Z,103,X
QC,H2A,-1,X
QC,H2A,101,2330
QC,H2A,102,3270
QC,H2A,103,X
QC,H2B,101,1990
QC,H2B,102,2380
QC,H2B,103,X
QC,H2C,101,1790
QC,H2C,102,2060
QC,H2E,-1,X
QC,H2E,101,3000
QC,H2E,102,3790
QC,H2E,103,X
QC,H2G,101,2710
QC,H2G,102,3280
QC,H2G,103,X
QC,H2H,101,2050
QC,H2H,102,2350
QC,H2H,103,X
QC,H2J,101,3280
QC,H2J,102,3660
QC,H2J,103,X
QC,H2K,-1,X
QC,H2K,101,3700
QC,H2K,102,5770
QC,H2K,103,X
QC,H2L,101,2830
QC,H2L,102,4190
QC,H2L,103,X
QC,H2M,101,1840
QC,H2M,102,2310
QC,H2M,103,X
QC,H2N,101,860
QC,H2N,102,1230
QC,H2P,101,1780
QC,H2P,102,1960
QC,H2P,103,X
QC,H2R,101,2850
QC,H2R,102,3130
QC,H2R,103,X
QC,H2S,101,3750
QC,H2S,102,4050
QC,H2S,103,X
QC,H2T,101,2150
QC,H2T,102,2370
QC,H2T,103,X
QC,H2V,101,3600
QC,H2V,102,3760
QC,H2V,103,X
QC,H2W,101,1420
QC,H2W,102,1690
QC,H2W,103,X
QC,H2X,-1,X
QC,H2X,101,2090
QC,H2X,102,3140
QC,H2X,103,X
QC,H2Y,101,360
QC,H2Y,102,480
QC,H2Y,103,X
QC,H2Z,101,340
