pcu_date_des_donnees_inclus-cerb_week_ending_date,code_de_la_subdivision_canadienne-canadian_subdivision_code,code_de_genre-gender_group_code,compte_unique_du_demandeur-unique_applicant_count 
2020-08-09,SK,102,116660
2020-08-09,SK,103,120
2020-08-09,AB,101,510000
2020-08-09,AB,102,520030
2020-08-09,AB,103,600
2020-08-09,BC,101,583150
2020-08-09,BC,102,561820
2020-08-09,BC,103,850
2020-08-09,YT,101,4180
2020-08-09,YT,102,4550
2020-08-09,YT,103,10
2020-08-09,NT,101,5140
2020-08-09,NT,102,6150
2020-08-09,NT,103,10
2020-08-09,NU,101,4540
2020-08-09,NU,102,4940
2020-08-09,NU,103,0
2020-08-09,**,101,1460
2020-08-09,**,102,2310
2020-08-09,**,103,1170
2020-08-09,??,101,30
2020-08-09,??,102,50
2020-08-09,??,103,0
2020-08-16,NL,101,52970
2020-08-16,NL,102,58490
2020-08-16,NL,103,50
2020-08-16,PE,101,16250
2020-08-16,PE,102,16590
2020-08-16,PE,103,50
2020-08-16,NS,101,100720
2020-08-16,NS,102,103720
2020-08-16,NS,103,180
2020-08-16,NB,101,77080
2020-08-16,NB,102,77710
2020-08-16,NB,103,90
2020-08-16,QC,101,886570
2020-08-16,QC,102,1082320
2020-08-16,QC,103,660
2020-08-16,ON,101,1688540
2020-08-16,ON,102,1735400
2020-08-16,ON,103,3110
2020-08-16,MB,101,133780
2020-08-16,MB,102,132280
2020-08-16,MB,103,210
2020-08-16,SK,101,114440
2020-08-16,SK,102,117470
2020-08-16,SK,103,120
2020-08-16,AB,101,512490
2020-08-16,AB,102,522910
2020-08-16,AB,103,630
2020-08-16,BC,101,585860
2020-08-16,BC,102,564800
2020-08-16,BC,103,900
2020-08-16,YT,101,4210
2020-08-16,YT,102,4590
2020-08-16,YT,103,10
2020-08-16,NT,101,5180
2020-08-16,NT,102,6200
2020-08-16,NT,103,10
2020-08-16,NU,101,4590
2020-08-16,NU,102,4990
2020-08-16,NU,103,0
2020-08-16,**,101,1480
2020-08-16,**,102,2370
2020-08-16,**,103,1180
2020-08-16,??,101,30
2020-08-16,??,102,50
2020-08-16,??,103,0
2020-08-23,NL,101,53520
2020-08-23,NL,102,59070
2020-08-23,NL,103,50
2020-08-23,PE,101,16400
2020-08-23,PE,102,16760
2020-08-23,PE,103,50
2020-08-23,NS,101,101290
2020-08-23,NS,102,104460
2020-08-23,NS,103,190
2020-08-23,NB,101,77670
2020-08-23,NB,102,78360
2020-08-23,NB,103,90
2020-08-23,QC,101,890340
2020-08-23,QC,102,1086910
2020-08-23,QC,103,700
2020-08-23,ON,101,1694390
2020-08-23,ON,102,1740940
2020-08-23,ON,103,3270
2020-08-23,MB,101,134470
2020-08-23,MB,102,133120
2020-08-23,MB,103,230
2020-08-23,SK,101,115000
2020-08-23,SK,102,118080
2020-08-23,SK,103,120
2020-08-23,AB,101,514630
2020-08-23,AB,102,525350
2020-08-23,AB,103,670
2020-08-23,BC,101,588130
2020-08-23,BC,102,567320
2020-08-23,BC,103,940
2020-08-23,YT,101,4230
2020-08-23,YT,102,4610
2020-08-23,YT,103,10
2020-08-23,NT,101,5210
2020-08-23,NT,102,6230
2020-08-23,NT,103,10
2020-08-23,NU,101,4610
2020-08-23,NU,102,5010
2020-08-23,NU,103,0
2020-08-23,**,101,1490
2020-08-23,**,102,2410
2020-08-23,**,103,1170
2020-08-23,??,101,30
2020-08-23,??,102,50
2020-08-23,??,103,0
2020-08-30,NL,101,54120
2020-08-30,NL,102,59740
2020-08-30,NL,103,30
2020-08-30,PE,101,16620
2020-08-30,PE,102,16970
2020-08-30,PE,103,20
2020-08-30,NS,101,101940
2020-08-30,NS,102,105330
2020-08-30,NS,103,100
2020-08-30,NB,101,78530
2020-08-30,NB,102,79180
2020-08-30,NB,103,60
2020-08-30,QC,101,894380
2020-08-30,QC,102,1091900
2020-08-30,QC,103,410
2020-08-30,ON,101,1701600
2020-08-30,ON,102,1748100
2020-08-30,ON,103,1870
2020-08-30,MB,101,135340
2020-08-30,MB,102,134150
2020-08-30,MB,103,100
2020-08-30,SK,101,115690
2020-08-30,SK,102,118910
2020-08-30,SK,103,70
2020-08-30,AB,101,517180
2020-08-30,AB,102,528590
2020-08-30,AB,103,270
2020-08-30,BC,101,590860
2020-08-30,BC,102,570150
2020-08-30,BC,103,430
2020-08-30,YT,101,4260
2020-08-30,YT,102,4640
2020-08-30,YT,103,0
2020-08-30,NT,101,5250
2020-08-30,NT,102,6260
2020-08-30,NT,103,10
2020-08-30,NU,101,4640
2020-08-30,NU,102,5040
2020-08-30,NU,103,0
2020-08-30,**,101,1510
2020-08-30,**,102,2450
2020-08-30,**,103,1170
2020-08-30,??,101,30
2020-08-30,??,102,50
2020-08-30,??,103,0
2020-09-06,NL,101,54910
2020-09-06,NL,102,60680
2020-09-06,NL,103,30
2020-09-06,PE,101,16890
2020-09-06,PE,102,17240
2020-09-06,PE,103,20
2020-09-06,NS,101,102830
2020-09-06,NS,102,106320
2020-09-06,NS,103,100
2020-09-06,NB,101,79760
2020-09-06,NB,102,80370
2020-09-06,NB,103,60
2020-09-06,QC,101,898890
2020-09-06,QC,102,1096860
2020-09-06,QC,103,420
2020-09-06,ON,101,1710530
2020-09-06,ON,102,1756360
2020-09-06,ON,103,1890
2020-09-06,MB,101,136530
2020-09-06,MB,102,135400
2020-09-06,MB,103,100
2020-09-06,SK,101,116760
2020-09-06,SK,102,119960
2020-09-06,SK,103,70
2020-09-06,AB,101,520600
2020-09-06,AB,102,532250
2020-09-06,AB,103,280
2020-09-06,BC,101,594080
2020-09-06,BC,102,573300
2020-09-06,BC,103,430
2020-09-06,YT,101,4300
2020-09-06,YT,102,4660
2020-09-06,YT,103,0
2020-09-06,NT,101,5300
2020-09-06,NT,102,6310
2020-09-06,NT,103,10
2020-09-06,NU,101,4680
2020-09-06,NU,102,5070
2020-09-06,NU,103,0
2020-09-06,**,101,1520
2020-09-06,**,102,2500
2020-09-06,**,103,1170
2020-09-06,??,101,30
2020-09-06,??,102,50
2020-09-06,??,103,0
2020-09-13,NL,101,55490
2020-09-13,NL,102,61430
2020-09-13,NL,103,30
2020-09-13,PE,101,17130
2020-09-13,PE,102,17500
2020-09-13,PE,103,20
2020-09-13,NS,101,103440
2020-09-13,NS,102,107100
2020-09-13,NS,103,110
2020-09-13,NB,101,80680
2020-09-13,NB,102,81380
2020-09-13,NB,103,60
2020-09-13,QC,101,902070
2020-09-13,QC,102,1100510
2020-09-13,QC,103,420
2020-09-13,ON,101,1716890
2020-09-13,ON,102,1762620
2020-09-13,ON,103,1890
2020-09-13,MB,101,137330
2020-09-13,MB,102,136280
2020-09-13,MB,103,100
2020-09-13,SK,101,117360
2020-09-13,SK,102,120690
2020-09-13,SK,103,70
2020-09-13,AB,101,522810
2020-09-13,AB,102,534840
2020-09-13,AB,103,270
2020-09-13,BC,101,596400
2020-09-13,BC,102,575940
2020-09-13,BC,103,440
2020-09-13,YT,101,4330
2020-09-13,YT,102,4690
2020-09-13,YT,103,0
2020-09-13,NT,101,5330
2020-09-13,NT,102,6360
2020-09-13,NT,103,10
2020-09-13,NU,101,4720
2020-09-13,NU,102,5110
2020-09-13,NU,103,0
2020-09-13,**,101,1520
2020-09-13,**,102,2540
2020-09-13,**,103,1170
2020-09-13,??,101,30
2020-09-13,??,102,50
2020-09-13,??,103,0
2020-09-20,NL,101,56140
2020-09-20,NL,102,62170
2020-09-20,NL,103,30
2020-09-20,PE,101,17360
2020-09-20,PE,102,17690
2020-09-20,PE,103,20
2020-09-20,NS,101,104040
2020-09-20,NS,102,107810
2020-09-20,NS,103,110
2020-09-20,NB,101,81520
2020-09-20,NB,102,82330
2020-09-20,NB,103,60
2020-09-20,QC,101,905420
2020-09-20,QC,102,1104720
2020-09-20,QC,103,430
2020-09-20,ON,101,1723110
2020-09-20,ON,102,1768890
2020-09-20,ON,103,1900
2020-09-20,MB,101,138100
2020-09-20,MB,102,137090
2020-09-20,MB,103,100
2020-09-20,SK,101,117930
2020-09-20,SK,102,121450
2020-09-20,SK,103,70
2020-09-20,AB,101,525040
2020-09-20,AB,102,537330
2020-09-20,AB,103,280
2020-09-20,BC,101,598610
2020-09-20,BC,102,578420
2020-09-20,BC,103,450
2020-09-20,YT,101,4350
2020-09-20,YT,102,4710
2020-09-20,YT,103,0
2020-09-20,NT,101,5360
2020-09-20,NT,102,6390
2020-09-20,NT,103,10
2020-09-20,NU,101,4760
2020-09-20,NU,102,5140
2020-09-20,NU,103,0
2020-09-20,**,101,1540
2020-09-20,**,102,2560
2020-09-20,**,103,1170
2020-09-20,??,101,30
2020-09-20,??,102,50
2020-09-20,??,103,0
2020-09-27,NL,101,56780
2020-09-27,NL,102,62930
2020-09-27,NL,103,30
2020-09-27,PE,101,17590
2020-09-27,PE,102,17920
2020-09-27,PE,103,20
2020-09-27,NS,101,104620
2020-09-27,NS,102,108520
2020-09-27,NS,103,110
2020-09-27,NB,101,82380
2020-09-27,NB,102,83220
2020-09-27,NB,103,60
2020-09-27,QC,101,909100
2020-09-27,QC,102,1109200
2020-09-27,QC,103,440
2020-09-27,ON,101,1729880
2020-09-27,ON,102,1775630
2020-09-27,ON,103,1910
2020-09-27,MB,101,138950
2020-09-27,MB,102,137950
